20/11/2018,"$ 8.850,00"
16/11/2018,S
15/11/2018,"$ 8.900,00"
14/11/2018,"$ 8.870,00"
13/11/2018,"$ 8.900,00"
12/11/2018,"$ 8.660,00"
09/11/2018,"$ 8.700,00"
08/11/2018,"$ 8.720,00"
07/11/2018,"$ 8.820,00"
06/11/2018,"$ 8.800,00"
05/11/2018,"$ 8.840,00"
02/11/2018,"$ 9.050,00"
01/11/2018,"$ 9.050,00"
31/10/2018,"$ 8.750,00"
30/10/2018,"$ 9.050,00"
29/10/2018,"$ 9.050,00"
26/10/2018,"$ 9.020,00"
25/10/2018,"$ 8.850,00"
24/10/2018,"$ 9.100,00"
23/10/2018,"$ 9.130,00"
22/10/2018,"$ 9.150,00"
19/10/2018,"$ 9.200,00"
18/10/2018,"$ 9.340,00"
17/10/2018,"$ 9.410,00"
16/10/2018,S
12/10/2018,S
11/10/2018,"$ 9.340,00"
10/10/2018,S
09/10/2018,"$ 9.650,00"
08/10/2018,"$ 9.980,00"
05/10/2018,"$ 10.110,00"
04/10/2018,"$ 10.170,00"
03/10/2018,"$ 9.720,00"
02/10/2018,S
01/10/2018,"$ 10.150,00"
28/09/2018,"$ 10.560,00"
27/09/2018,"$ 10.015,00"
26/09/2018,"$ 9.800,00"
25/09/2018,S
24/09/2018,"$ 9.250,00"
21/09/2018,S
20/09/2018,"$ 9.600,00"
19/09/2018,"$ 9.740,00"
18/09/2018,"$ 9.580,00"
17/09/2018,"$ 9.550,00"
14/09/2018,"$ 9.750,00"
13/09/2018,"$ 9.720,00"
12/09/2018,"$ 9.500,00"
11/09/2018,"$ 9.510,00"
10/09/2018,"$ 9.320,00"
07/09/2018,"$ 9.210,00"
06/09/2018,"$ 9.100,00"
05/09/2018,"$ 9.150,00"
04/09/2018,"$ 9.120,00"
31/08/2018,"$ 9.000,00"
30/08/2018,"$ 9.000,00"
29/08/2018,"$ 8.270,00"
28/08/2018,"$ 7.900,00"
27/08/2018,"$ 7.820,00"
24/08/2018,"$ 7.930,00"
23/08/2018,"$ 7.720,00"
22/08/2018,"$ 7.900,00"
21/08/2018,"$ 7.900,00"
17/08/2018,"$ 7.900,00"
16/08/2018,"$ 8.000,00"
15/08/2018,"$ 7.800,00"
14/08/2018,"$ 7.700,00"
13/08/2018,"$ 8.000,00"
10/08/2018,"$ 7.605,00"
09/08/2018,"$ 7.605,00"
08/08/2018,"$ 7.500,00"
07/08/2018,"$ 7.300,00"
06/08/2018,"$ 7.220,00"
03/08/2018,S
02/08/2018,S
01/08/2018,"$ 7.600,00"
31/07/2018,"$ 7.720,00"
30/07/2018,"$ 7.620,00"
27/07/2018,"$ 7.600,00"
26/07/2018,"$ 7.600,00"
25/07/2018,"$ 7.600,00"
24/07/2018,"$ 7.650,00"
23/07/2018,"$ 7.650,00"
20/07/2018,"$ 7.670,00"
19/07/2018,"$ 7.700,00"
18/07/2018,"$ 7.720,00"
17/07/2018,"$ 7.710,00"
16/07/2018,"$ 7.710,00"
13/07/2018,"$ 7.610,00"
12/07/2018,"$ 7.700,00"
11/07/2018,"$ 7.720,00"
10/07/2018,"$ 7.780,00"
06/07/2018,"$ 8.010,00"
05/07/2018,"$ 7.800,00"
04/07/2018,"$ 7.730,00"
03/07/2018,"$ 7.740,00"
02/07/2018,"$ 7.990,00"
29/06/2018,"$ 8.090,00"
28/06/2018,"$ 7.740,00"
27/06/2018,"$ 7.600,00"
26/06/2018,"$ 7.550,00"
25/06/2018,"$ 7.550,00"
22/06/2018,"$ 7.620,00"
21/06/2018,"$ 7.615,00"
19/06/2018,"$ 7.600,00"
18/06/2018,"$ 7.600,00"
15/06/2018,"$ 7.800,00"
14/06/2018,"$ 7.620,00"
13/06/2018,"$ 7.295,00"
12/06/2018,"$ 7.290,00"
11/06/2018,"$ 7.200,00"
08/06/2018,"$ 7.220,00"
07/06/2018,"$ 7.200,00"
06/06/2018,"$ 7.280,00"
05/06/2018,"$ 7.180,00"
04/06/2018,"$ 7.130,00"
01/06/2018,"$ 7.300,00"
31/05/2018,"$ 7.300,00"
30/05/2018,"$ 7.200,00"
29/05/2018,"$ 7.100,00"
28/05/2018,"$ 7.000,00"
24/05/2018,"$ 7.000,00"
23/05/2018,"$ 7.350,00"
22/05/2018,"$ 7.250,00"
21/05/2018,"$ 7.320,00"
18/05/2018,"$ 7.250,00"
17/05/2018,"$ 7.290,00"
16/05/2018,"$ 7.480,00"
15/05/2018,"$ 7.450,00"
14/05/2018,"$ 7.750,00"
11/05/2018,"$ 7.200,00"
10/05/2018,"$ 7.100,00"
09/05/2018,"$ 7.130,00"
08/05/2018,"$ 7.190,00"
07/05/2018,"$ 6.900,00"
04/05/2018,"$ 6.890,00"
03/05/2018,"$ 7.175,00"
02/05/2018,"$ 6.725,00"
27/04/2018,"$ 6.525,00"
26/04/2018,"$ 6.420,00"
25/04/2018,"$ 6.300,00"
24/04/2018,"$ 6.200,00"
23/04/2018,"$ 6.100,00"
20/04/2018,"$ 6.040,00"
19/04/2018,"$ 5.960,00"
18/04/2018,"$ 5.950,00"
17/04/2018,"$ 5.990,00"
16/04/2018,"$ 6.000,00"
13/04/2018,"$ 6.100,00"
12/04/2018,"$ 6.230,00"
11/04/2018,"$ 6.200,00"
10/04/2018,"$ 6.200,00"
09/04/2018,"$ 6.495,00"
06/04/2018,"$ 6.320,00"
05/04/2018,"$ 6.200,00"
04/04/2018,"$ 6.100,00"
03/04/2018,"$ 6.095,00"
28/03/2018,"$ 5.908,00"
27/03/2018,"$ 5.900,00"
26/03/2018,"$ 5.800,00"
23/03/2018,"$ 5.730,00"
22/03/2018,"$ 5.740,00"
21/03/2018,"$ 5.760,00"
20/03/2018,"$ 5.700,00"
19/03/2018,"$ 5.680,00"
16/03/2018,"$ 5.850,00"
15/03/2018,"$ 5.900,00"
14/03/2018,"$ 5.850,00"
13/03/2018,"$ 5.995,00"
12/03/2018,"$ 5.940,00"
09/03/2018,"$ 5.950,00"
08/03/2018,"$ 6.100,00"
07/03/2018,"$ 6.080,00"
06/03/2018,"$ 6.180,00"
05/03/2018,"$ 6.320,00"
02/03/2018,"$ 6.350,00"
01/03/2018,"$ 6.310,00"
28/02/2018,"$ 6.300,00"
27/02/2018,"$ 6.220,00"
26/02/2018,"$ 6.030,00"
23/02/2018,"$ 6.025,00"
22/02/2018,"$ 6.010,00"
21/02/2018,"$ 6.050,00"
20/02/2018,"$ 6.000,00"
19/02/2018,"$ 5.920,00"
16/02/2018,"$ 5.910,00"
15/02/2018,"$ 5.860,00"
14/02/2018,"$ 5.880,00"
09/02/2018,"$ 5.700,00"
08/02/2018,"$ 5.650,00"
07/02/2018,"$ 5.500,00"
06/02/2018,"$ 5.500,00"
05/02/2018,"$ 5.400,00"
02/02/2018,"$ 5.450,00"
01/02/2018,S
31/01/2018,"$ 5.545,00"
30/01/2018,"$ 5.535,00"
29/01/2018,"$ 5.465,00"
26/01/2018,"$ 5.400,00"
25/01/2018,"$ 5.400,00"
24/01/2018,"$ 5.400,00"
23/01/2018,"$ 5.300,00"
22/01/2018,"$ 5.240,00"
19/01/2018,"$ 5.160,00"
18/01/2018,"$ 5.060,00"
17/01/2018,"$ 5.060,00"
16/01/2018,"$ 5.060,00"
15/01/2018,"$ 4.965,00"
12/01/2018,"$ 4.950,00"
11/01/2018,"$ 4.950,00"
10/01/2018,S
09/01/2018,"$ 5.025,00"
08/01/2018,"$ 5.010,00"
05/01/2018,"$ 5.005,00"
04/01/2018,"$ 4.900,00"
03/01/2018,"$ 4.805,00"
02/01/2018,"$ 4.755,00"
29/12/2017,"$ 4.720,00"
28/12/2017,"$ 4.780,00"
27/12/2017,"$ 4.700,00"
26/12/2017,"$ 4.660,00"
22/12/2017,"$ 4.510,00"
21/12/2017,"$ 4.505,00"
20/12/2017,"$ 4.500,00"
